grafana_panel_id,grafana_ref_id,grafana_panel_title,segment_label,service_type,benchmark_type,instance,job,service_label,timestamp_local,timestamp_utc,timestamp_unix,load_phase,offset_seconds,metric_name,value,prom_labels_json
2,B,CPU Usage Rate,go_inventory,go,inventory,warehouse-go:8084,go-services,warehouse-go:8084,2026-06-23 17:41:48,2026-06-23T12:11:48Z,1782216708,warmup,105.0,cpu_usage_go,0.0009090909090911157,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 17:42:03,2026-06-23T12:12:03Z,1782216723,warmup,120.0,cpu_usage_go,0.0019999999999997316,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 17:42:03,2026-06-23T12:12:03Z,1782216723,warmup,120.0,cpu_usage_go,0.0007272595043719863,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,warehouse-go:8084,go-services,warehouse-go:8084,2026-06-23 17:42:03,2026-06-23T12:12:03Z,1782216723,warmup,120.0,cpu_usage_go,0.0009090909090911157,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 17:42:18,2026-06-23T12:12:18Z,1782216738,warmup,135.0,cpu_usage_go,0.0021818181818182647,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 17:42:18,2026-06-23T12:12:18Z,1782216738,warmup,135.0,cpu_usage_go,0.0005454644629897401,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,warehouse-go:8084,go-services,warehouse-go:8084,2026-06-23 17:42:18,2026-06-23T12:12:18Z,1782216738,warmup,135.0,cpu_usage_go,0.0009090909090900823,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 17:42:33,2026-06-23T12:12:33Z,1782216753,warmup,150.0,cpu_usage_go,0.0025454545454542976,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 17:42:33,2026-06-23T12:12:33Z,1782216753,warmup,150.0,cpu_usage_go,0.0007272727272730993,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,warehouse-go:8084,go-services,warehouse-go:8084,2026-06-23 17:42:33,2026-06-23T12:12:33Z,1782216753,warmup,150.0,cpu_usage_go,0.0007272859506529868,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 17:42:48,2026-06-23T12:12:48Z,1782216768,warmup,165.0,cpu_usage_go,0.0025454545454548145,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 17:42:48,2026-06-23T12:12:48Z,1782216768,warmup,165.0,cpu_usage_go,0.0003636363636370664,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,warehouse-go:8084,go-services,warehouse-go:8084,2026-06-23 17:42:48,2026-06-23T12:12:48Z,1782216768,warmup,165.0,cpu_usage_go,0.0007272727272730993,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 17:43:03,2026-06-23T12:13:03Z,1782216783,warmup,180.0,cpu_usage_go,0.003272727272727397,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 17:43:03,2026-06-23T12:13:03Z,1782216783,warmup,180.0,cpu_usage_go,0.0005454644629907737,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,warehouse-go:8084,go-services,warehouse-go:8084,2026-06-23 17:43:03,2026-06-23T12:13:03Z,1782216783,warmup,180.0,cpu_usage_go,0.0007272727272730993,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 17:43:18,2026-06-23T12:13:18Z,1782216798,warmup,195.0,cpu_usage_go,0.003272727272727397,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 17:43:18,2026-06-23T12:13:18Z,1782216798,warmup,195.0,cpu_usage_go,0.0007272859506540204,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,warehouse-go:8084,go-services,warehouse-go:8084,2026-06-23 17:43:18,2026-06-23T12:13:18Z,1782216798,warmup,195.0,cpu_usage_go,0.0007272727272730993,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 17:43:33,2026-06-23T12:13:33Z,1782216813,warmup,210.0,cpu_usage_go,0.0036363636363634304,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 17:43:33,2026-06-23T12:13:33Z,1782216813,warmup,210.0,cpu_usage_go,0.0003636363636360329,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,warehouse-go:8084,go-services,warehouse-go:8084,2026-06-23 17:43:33,2026-06-23T12:13:33Z,1782216813,warmup,210.0,cpu_usage_go,0.0005454644629897401,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 17:43:48,2026-06-23T12:13:48Z,1782216828,warmup,225.0,cpu_usage_go,0.00399999999999998,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 17:43:48,2026-06-23T12:13:48Z,1782216828,warmup,225.0,cpu_usage_go,0.0003636363636360329,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,warehouse-go:8084,go-services,warehouse-go:8084,2026-06-23 17:43:48,2026-06-23T12:13:48Z,1782216828,warmup,225.0,cpu_usage_go,0.0009090909090900823,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 17:44:03,2026-06-23T12:14:03Z,1782216843,warmup,240.0,cpu_usage_go,0.00399999999999998,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 17:44:03,2026-06-23T12:14:03Z,1782216843,warmup,240.0,cpu_usage_go,0.0005454545454540493,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,warehouse-go:8084,go-services,warehouse-go:8084,2026-06-23 17:44:03,2026-06-23T12:14:03Z,1782216843,warmup,240.0,cpu_usage_go,0.0007272727272730993,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 17:44:18,2026-06-23T12:14:18Z,1782216858,warmup,255.0,cpu_usage_go,0.0043636363636360125,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 17:44:18,2026-06-23T12:14:18Z,1782216858,warmup,255.0,cpu_usage_go,0.0005454545454550828,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,warehouse-go:8084,go-services,warehouse-go:8084,2026-06-23 17:44:18,2026-06-23T12:14:18Z,1782216858,warmup,255.0,cpu_usage_go,0.0007272727272730993,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 17:44:33,2026-06-23T12:14:33Z,1782216873,warmup,270.0,cpu_usage_go,0.0043636363636360125,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 17:44:33,2026-06-23T12:14:33Z,1782216873,warmup,270.0,cpu_usage_go,0.0005454644629907737,{}
