grafana_panel_id,grafana_ref_id,grafana_panel_title,segment_label,service_type,benchmark_type,instance,job,service_label,timestamp_local,timestamp_utc,timestamp_unix,load_phase,offset_seconds,metric_name,value,prom_labels_json
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 14:59:29,2026-06-23T09:29:29Z,1782206969,warmup,0.0,cpu_usage_go,0.0016363636363636983,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 14:59:29,2026-06-23T09:29:29Z,1782206969,warmup,0.0,cpu_usage_go,0.0007272727272730993,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,warehouse-go:8084,go-services,warehouse-go:8084,2026-06-23 14:59:29,2026-06-23T09:29:29Z,1782206969,warmup,0.0,cpu_usage_go,0.0012727272727271486,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 14:59:44,2026-06-23T09:29:44Z,1782206984,warmup,15.0,cpu_usage_go,0.001636363636363569,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 14:59:44,2026-06-23T09:29:44Z,1782206984,warmup,15.0,cpu_usage_go,0.0007272727272730993,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,warehouse-go:8084,go-services,warehouse-go:8084,2026-06-23 14:59:44,2026-06-23T09:29:44Z,1782206984,warmup,15.0,cpu_usage_go,0.001454545454545682,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 14:59:59,2026-06-23T09:29:59Z,1782206999,warmup,30.0,cpu_usage_go,0.0016363636363636983,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 14:59:59,2026-06-23T09:29:59Z,1782206999,warmup,30.0,cpu_usage_go,0.0005454446282795065,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,warehouse-go:8084,go-services,warehouse-go:8084,2026-06-23 14:59:59,2026-06-23T09:29:59Z,1782206999,warmup,30.0,cpu_usage_go,0.001090889256559013,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,inventory-go-twin:9082,go-services,inventory-go-twin:9082,2026-06-23 15:00:14,2026-06-23T09:30:14Z,1782207014,warmup,45.0,cpu_usage_go,0.0019999999999999896,{}
2,B,CPU Usage Rate,go_inventory,go,inventory,order-go-twin:9083,go-services,order-go-twin:9083,2026-06-23 15:00:14,2026-06-23T09:30:14Z,1782207014,warmup,45.0,cpu_usage_go,0.0007272727272730993,{}
